Number of Correct Guesses,Repeat Number,Time Up To Now
510855,312,10:34:50.272617
509617,313,10:36:12.388448
509711,314,10:37:41.221284
510071,315,10:39:07.603540
510049,316,10:40:34.895515
508147,317,10:41:57.412009
509847,318,10:43:20.802117
509629,319,10:44:43.979238
510524,320,10:46:06.699454
509706,321,10:47:28.226022
509471,322,10:48:52.301883
509956,323,10:50:16.354350
509040,324,10:51:39.367722
510129,325,10:53:02.390528
509509,326,10:54:28.040310
510409,327,10:55:52.029586
509250,328,10:57:15.382103
510210,329,10:58:39.643317
510078,330,11:00:01.904189
510164,331,11:01:30.680061
509526,332,11:02:54.630992
508915,333,11:04:20.848788
509973,334,11:05:47.270392
510887,335,11:07:11.438761
510465,336,11:08:35.574996
509646,337,11:10:03.103322
509706,338,11:11:26.856618
510173,339,11:12:52.848175
510137,340,11:14:18.480139
509877,341,11:15:42.418585
508336,342,11:17:05.865921
510508,343,11:18:31.577403
509461,344,11:19:57.046490
508787,345,11:21:22.427693
509239,346,11:22:49.978497
509002,347,11:24:14.147530
508991,348,11:25:38.794498
509861,349,11:26:59.863552
510072,350,11:28:27.654026
510321,351,11:29:52.307161
509741,352,11:31:17.528381
510092,353,11:32:42.450191
509267,354,11:34:09.024201
509906,355,11:35:35.385929
509240,356,11:37:02.964245
510111,357,11:38:55.055871
510030,358,11:41:35.513180
509776,359,11:44:16.095362
509925,360,11:46:55.569165
508666,361,11:49:35.241701
509671,362,11:52:15.633688
509366,363,11:54:56.822557
509973,364,11:57:28.773660
510545,365,11:59:57.725672
509787,366,12:02:39.327159
510313,367,12:05:16.909650
509766,368,12:07:58.509693
509647,369,12:10:33.680611
510037,370,12:13:13.549528
509798,371,12:15:52.245748
509570,372,12:18:32.336871
509651,373,12:21:12.606048
509501,374,12:23:53.108034
509759,375,12:26:37.609371
509938,376,12:29:13.629784
509664,377,12:31:49.247560
509709,378,12:34:33.639597
510340,379,12:37:13.038505
509654,380,12:39:54.590682
510189,381,12:42:33.370175
510010,382,12:45:14.384083
509851,383,12:47:56.671801
510202,384,12:50:32.598082
508819,385,12:53:12.463800
511244,386,12:55:57.468107
509563,387,12:58:38.840837
509735,388,13:01:28.719123
509302,389,13:04:11.821051
509838,390,13:06:54.239545
509437,391,13:09:37.540133
510443,392,13:12:12.241334
509745,393,13:14:52.621708
510175,394,13:17:36.637693
508987,395,13:20:23.322233
510759,396,13:22:56.752023
509353,397,13:25:27.182120
509957,398,13:27:51.532731
509916,399,13:30:15.290362
510247,400,13:32:46.634473
510237,401,13:35:15.528920
509624,402,13:37:51.534045
509991,403,13:40:31.256442
509534,404,13:43:12.850605
508627,405,13:45:48.983650
509655,406,13:48:23.423745
509009,407,13:51:02.407788
509297,408,13:53:38.451886
510097,409,13:56:21.706491
510202,410,13:58:57.229639
509805,411,14:01:29.617644
510530,412,14:04:07.854538
510684,413,14:06:52.940879
509812,414,14:09:37.027272
509899,415,14:12:23.724145
510092,416,14:15:10.823892
509534,417,14:17:58.245554
509307,418,14:20:39.965523
509850,419,14:23:23.355106
509196,420,14:26:12.801090
510712,421,14:29:00.540926
509997,422,14:31:45.612602
509655,423,14:34:31.675505
509573,424,14:36:35.790804
509672,425,14:37:59.457578
509389,426,14:39:25.883014
509299,427,14:40:52.140029
509776,428,14:42:16.509849
510295,429,14:43:42.412598
509765,430,14:45:08.240400
509502,431,14:46:36.325843
510054,432,14:48:03.482020
509631,433,14:49:29.277529
510477,434,14:50:55.891030
509181,435,14:52:22.676743
509220,436,14:53:49.286957
509117,437,14:55:14.998588
510484,438,14:56:41.547333
509706,439,14:58:07.832883
509177,440,14:59:40.175487
509234,441,15:01:08.077110
508977,442,15:02:36.678750
509206,443,15:04:04.508167
509560,444,15:05:33.937928
